 set xrange [0:50.006]
 set xlabel "Time (s)"
 p 'Results.dat' u 1:2 w l t "X Position", '' u 1:3 w l t "Velocity"
 0.005  0.01001  2.00237
 0.010  0.02002  2.00450
 0.015  0.03005  2.00637
 0.020  0.04009  2.00799
 0.025  0.05013  2.00936
 0.030  0.06018  2.01048
 0.035  0.07024  2.01135
 0.040  0.08029  2.01196
 0.045  0.09036  2.01232
 0.050  0.10042  2.01242
 0.055  0.11048  2.01227
 0.060  0.12054  2.01186
 0.065  0.13060  2.01121
 0.070  0.14065  2.01029
 0.075  0.15070  2.00912
 0.080  0.16074  2.00770
 0.085  0.17078  2.00602
 0.090  0.18080  2.00409
 0.095  0.19082  2.00190
 0.100  0.20082  1.99946
 0.105  0.21081  1.99676
 0.110  0.22079  1.99381
 0.115  0.23075  1.99060
 0.120  0.24070  1.98714
 0.125  0.25062  1.98342
 0.130  0.26053  1.97945
 0.135  0.27042  1.97523
 0.140  0.28028  1.97075
 0.145  0.29013  1.96602
 0.150  0.29994  1.96104
 0.155  0.30974  1.95580
 0.160  0.31950  1.95031
 0.165  0.32924  1.94457
 0.170  0.33895  1.93858
 0.175  0.34862  1.93234
 0.180  0.35827  1.92584
 0.185  0.36788  1.91910
 0.190  0.37746  1.91211
 0.195  0.38700  1.90487
 0.200  0.39651  1.89739
 0.205  0.40598  1.88965
 0.210  0.41541  1.88167
 0.215  0.42479  1.87345
 0.220  0.43414  1.86498
 0.225  0.44344  1.85626
 0.230  0.45270  1.84731
 0.235  0.46192  1.83811
 0.240  0.47108  1.82867
 0.245  0.48020  1.81899
 0.250  0.48927  1.80907
 0.255  0.49830  1.79891
 0.260  0.50726  1.78852
 0.265  0.51618  1.77789
 0.270  0.52504  1.76702
 0.275  0.53385  1.75593
 0.280  0.54260  1.74459
 0.285  0.55130  1.73303
 0.290  0.55993  1.72124
 0.295  0.56851  1.70922
 0.300  0.57702  1.69697
 0.305  0.58548  1.68449
 0.310  0.59387  1.67179
 0.315  0.60220  1.65887
 0.320  0.61046  1.64572
 0.325  0.61865  1.63236
 0.330  0.62678  1.61877
 0.335  0.63484  1.60497
 0.340  0.64283  1.59095
 0.345  0.65075  1.57671
 0.350  0.65860  1.56227
 0.355  0.66637  1.54761
 0.360  0.67407  1.53274
 0.365  0.68170  1.51766
 0.370  0.68925  1.50238
